Year,Program,Six Digit,Program Category,Four Digit,Program Family,Two Digit,Institution Type,Institution,Campus,County,FIPS,Certificate,Diploma,Total Awards
2019-20,Computer Systems Networking and Telecommunications,11.0901,Computer Systems Networking and Telecommunications,11.09,Computer and Information Sciences and Support Services,11,TCAT,Athens,Main Campus,"McMinn County, Tennessee",47107,0,10,10
2019-20,Industrial Mechanics and Maintenance Technology/Technician,47.0303,Heavy/Industrial Equipment Maintenance Technologies/Technicians,47.03,Mechanic and Repair Technologies/Technicians,47,TCAT,Athens,Main Campus,"McMinn County, Tennessee",47107,8,8,16
2019-20,Autobody/Collision and Repair Technology/Technician,47.0603,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Athens,Main Campus,"McMinn County, Tennessee",47107,1,10,11
2019-20,Automobile/Automotive Mechanics Technology/Technician,47.0604,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Athens,Main Campus,"McMinn County, Tennessee",47107,7,4,11
2019-20,Machine Tool Technology/Machinist,48.0501,Precision Metal Working,48.05,Precision Production,48,TCAT,Athens,Main Campus,"McMinn County, Tennessee",47107,0,11,11
2019-20,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Athens,Main Campus,"McMinn County, Tennessee",47107,6,7,13
2019-20,Pharmacy Technician/Assistant,51.0805,Allied Health and Medical Assisting Services,51.08,Health Professions and Related Programs,51,TCAT,Athens,Main Campus,"McMinn County, Tennessee",47107,0,10,10
2019-20,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Athens,Main Campus,"McMinn County, Tennessee",47107,0,38,38
2019-20,Executive Assistant/Executive Secretary,52.0402,Business Operations Support and Assistant Services,52.04,"Business, Management, Marketing, and Related Support Services",52,TCAT,Athens,Main Campus,"McMinn County, Tennessee",47107,5,16,21
2019-20,Industrial Mechanics and Maintenance Technology/Technician,47.0303,Heavy/Industrial Equipment Maintenance Technologies/Technicians,47.03,Mechanic and Repair Technologies/Technicians,47,TCAT,Chattanooga,ChSCC - West Campus,"Hamilton County, Tennessee",47065,0,12,12
2019-20,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Chattanooga,ChSCC - West Campus,"Hamilton County, Tennessee",47065,3,11,14
2019-20,Truck and Bus Driver/Commercial Vehicle Operator and Instructor,49.0205,Ground Transportation,49.02,Transportation and Materials Moving,49,TCAT,Chattanooga,Kansita Building,"Hamilton County, Tennessee",47065,96,0,96
2019-20,"Applied Horticulture/Horticulture Operations, General",01.0601,Applied Horticulture and Horticultural Business Services,01.06,Agricultural/Animal/Plant/Veterinary Science and Related Fields,01,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,3,7,10
2019-20,"Cosmetology/Cosmetologist, General",12.0401,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,38,38
2019-20,Barbering/Barber,12.0402,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,11,11
2019-20,"Cosmetology and Related Personal Grooming Arts, Other",12.0499,Cosmetology and Related Personal Grooming Services,12.04,"Culinary, Entertainment, and Personal Services",12,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,15,15
2019-20,"Electrical and Power Transmission Installation/Installer, General",46.0301,Electrical and Power Transmission Installers,46.03,Construction Trades,46,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,49,49
2019-20,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",47.02,Mechanic and Repair Technologies/Technicians,47,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,21,32,53
2019-20,Heavy Equipment Maintenance Technology/Technician,47.0302,Heavy/Industrial Equipment Maintenance Technologies/Technicians,47.03,Mechanic and Repair Technologies/Technicians,47,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,5,5
2019-20,Industrial Mechanics and Maintenance Technology/Technician,47.0303,Heavy/Industrial Equipment Maintenance Technologies/Technicians,47.03,Mechanic and Repair Technologies/Technicians,47,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,29,29
2019-20,Autobody/Collision and Repair Technology/Technician,47.0603,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,5,26,31
2019-20,Automobile/Automotive Mechanics Technology/Technician,47.0604,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,20,10,30
2019-20,Diesel Mechanics Technology/Technician,47.0605,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,15,15
2019-20,Motorcycle Maintenance and Repair Technology/Technician,47.0611,Vehicle Maintenance and Repair Technologies/Technicians,47.06,Mechanic and Repair Technologies/Technicians,47,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,9,9,18
2019-20,Machine Tool Technology/Machinist,48.0501,Precision Metal Working,48.05,Precision Production,48,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,14,14
2019-20,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,9,40,49
2019-20,Medical/Clinical Assistant,51.0801,Allied Health and Medical Assisting Services,51.08,Health Professions and Related Programs,51,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,24,24
2019-20,Surgical Technology/Technologist,51.0909,"Allied Health Diagnostic, Intervention, and Treatment Professions",51.09,Health Professions and Related Programs,51,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,19,19
2019-20,Massage Therapy/Therapeutic Massage,51.3501,Somatic Bodywork and Related Therapeutic Services,51.35,Health Professions and Related Programs,51,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,28,0,28
2019-20,Licensed Practical/Vocational Nurse Training,51.3901,"Practical Nursing, Vocational Nursing and Nursing Assistants",51.39,Health Professions and Related Programs,51,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,32,32
2019-20,Executive Assistant/Executive Secretary,52.0402,Business Operations Support and Assistant Services,52.04,"Business, Management, Marketing, and Related Support Services",52,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,0,15,15
2019-20,Business/Office Automation/Technology/Data Entry,52.0407,Business Operations Support and Assistant Services,52.04,"Business, Management, Marketing, and Related Support Services",52,TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,16,29,45
2019-20,Welding Technology/Welder,48.0508,Precision Metal Working,48.05,Precision Production,48,TCAT,Chattanooga,Suburban Manufacturing,"Hamilton County, Tennessee",47065,2,4,6
