Institution Type,Institution,Campus,County,FIPS,Institution Address,Latitude,Longitude,
TCAT,Athens,Main Campus,"McMinn County, Tennessee",47107,"1635 Technology Way, Athens, TN 37303",35.44283231,-84.63048532,
TCAT,Athens,McMinn Higher Education Center Extension Campus,"McMinn County, Tennessee",47107,"2345 Denso Dr, Athens, TN 37303",35.471314,-84.647533,
TCAT,Chattanooga,ChSCC - West Campus (Kimball Site),"Marion County, Tennessee",47115,"4501 Amnicola Hwy #100, Chattanooga, TN 37406",35.10104203,-85.23556756,
TCAT,Chattanooga,Construction Career Center,"Hamilton County, Tennessee",47065,"2225 Roanoke Ave, Chattanooga, TN 37406",35.061414,-85.259973,
TCAT,Chattanooga,Kansita Building,"Hamilton County, Tennessee",47065,"4501 Amnicola Hwy #100, Chattanooga, TN 37406",35.10104203,-85.23556756,
TCAT,Chattanooga,Main Campus,"Hamilton County, Tennessee",47065,"4501 Amnicola Hwy, Chattanooga, TN 37406",35.10034777,-85.23978584,
Community College,Chattanooga,Not Available for Community Colleges,"Hamilton County, Tennessee",47065,"4501 Amnicola Hwy, Chattanooga, TN 37406",35.10032226,-85.23732709,
TCAT,Chattanooga,Rhea County Industrial Park (Dayton Site),"Rhea County, Tennessee",47143,"200 4th Avenue, Dayton, TN 37321",35.49483,-85.008853,
TCAT,Chattanooga,Suburban Manufacturing,"Hamilton County, Tennessee",47065,"4501 Amnicola Hwy, Chattanooga, TN 37406",35.10032226,-85.23732709,
Community College,Cleveland,Not Available for Community Colleges,"Bradley County, Tennessee",47011,"3535 Adkisson Dr, Cleveland, TN 37312",35.20101819,-84.87931779,
Community College,Columbia,Not Available for Community Colleges,"Maury County, Tennessee",47119,"1665 Hampshire Pike, Columbia, TN 38401",35.61663044,-87.09915065,
TCAT,Northwest,Covington Campus,"Tipton County, Tennessee",47167,"1600 U.S. 51 S, Covington, TN 38019",35.54530131,-89.65977471,
TCAT,Upper Cumberland (Formerly Crossville),Bledsoe County Correctional Complex,"Bledsoe County, Tennessee",47007,"1045 Horsehead Rd, Pikeville, TN 37367",35.74530379,-85.25233782,
TCAT,Upper Cumberland (Formerly Crossville),Main Campus,"Cumberland County, Tennessee",47035,"910 Miller Ave, Crossville, TN 38555",35.94699478,-85.03881454,
TCAT,Crump,Adamsville High School,"McNairy County, Tennessee",47109,"815 W Main St, Adamsville, TN 38310",35.222787,-88.416531,
TCAT,Crump,Chester County High School,"Chester County, Tennessee",47023,"552 East Main Street, Henderson, TN 38340",35.440583,-88.628142,
TCAT,Crump,Clifton Instructional Service Center,"Wayne County, Tennessee",47181,"795 Main St, Clifton, TN 38425",35.3757955,-87.98324803,
TCAT,Crump,Crump Parsons Extension,"Decatur County, Tennessee",47039,"256 West 9th Street, Parsons, TN 38363",35.640245,-88.127715,
TCAT,Crump,Hardin County High School,"Hardin County, Tennessee",47071,"1170 Pickwick St, Savannah, TN 38372",35.21110422,-88.24583054,
TCAT,Crump,Henderson/Chester County's Instructional Service Center,"Chester County, Tennessee",47023,"552 E Main St, Henderson, TN 38340",35.4402655,-88.62826185,
